city,name,percentage,season_year,season,league,city_group
Montréal,Canadiens,0.677632,1969,19681969,NHL,Montreal
Boston,Bruins,0.657895,1969,19681969,NHL,Boston
NY Rangers,Rangers,0.598684,1969,19681969,NHL,New York
St. Louis,Blues,0.578947,1969,19681969,NHL,St. Louis
Toronto,Maple Leafs,0.559211,1969,19681969,NHL,Toronto
Detroit,Red Wings,0.513158,1969,19681969,NHL,Detroit
Chicago,Blackhawks,0.506579,1969,19681969,NHL,Chicago
Oakland,Seals,0.453947,1969,19681969,NHL,Bay Area
Philadelphia,Flyers,0.401316,1969,19681969,NHL,Philadelphia
Los Angeles,Kings,0.381579,1969,19681969,NHL,Los Angeles
Pittsburgh,Penguins,0.335526,1969,19681969,NHL,Pittsburgh
Minnesota,North Stars,0.335526,1969,19681969,NHL,Minnesota
Chicago,Blackhawks,0.651316,1970,19691970,NHL,Chicago
Boston,Bruins,0.651316,1970,19691970,NHL,Boston
Detroit,Red Wings,0.625,1970,19691970,NHL,Detroit
NY Rangers,Rangers,0.605263,1970,19691970,NHL,New York
Montréal,Canadiens,0.605263,1970,19691970,NHL,Montreal
St. Louis,Blues,0.565789,1970,19691970,NHL,St. Louis
Toronto,Maple Leafs,0.467105,1970,19691970,NHL,Toronto
Pittsburgh,Penguins,0.421053,1970,19691970,NHL,Pittsburgh
Minnesota,North Stars,0.394737,1970,19691970,NHL,Minnesota
Oakland,Seals,0.381579,1970,19691970,NHL,Bay Area
Philadelphia,Flyers,0.381579,1970,19691970,NHL,Philadelphia
Los Angeles,Kings,0.25,1970,19691970,NHL,Los Angeles
Boston,Bruins,0.775641,1971,19701971,NHL,Boston
NY Rangers,Rangers,0.698718,1971,19701971,NHL,New York
Chicago,Blackhawks,0.685897,1971,19701971,NHL,Chicago
Montréal,Canadiens,0.621795,1971,19701971,NHL,Montreal
St. Louis,Blues,0.557692,1971,19701971,NHL,St. Louis
Toronto,Maple Leafs,0.525641,1971,19701971,NHL,Toronto
Philadelphia,Flyers,0.467949,1971,19701971,NHL,Philadelphia
Minnesota,North Stars,0.461538,1971,19701971,NHL,Minnesota
Los Angeles,Kings,0.403846,1971,19701971,NHL,Los Angeles
Buffalo,Sabres,0.403846,1971,19701971,NHL,Buffalo
Pittsburgh,Penguins,0.397436,1971,19701971,NHL,Pittsburgh
Vancouver,Canucks,0.358974,1971,19701971,NHL,Vancouver
Detroit,Red Wings,0.352564,1971,19701971,NHL,Detroit
California,Golden Seals,0.288462,1971,19701971,NHL,Bay Area
Boston,Bruins,0.762821,1972,19711972,NHL,Boston
NY Rangers,Rangers,0.698718,1972,19711972,NHL,New York
Montréal,Canadiens,0.692308,1972,19711972,NHL,Montreal
Chicago,Blackhawks,0.685897,1972,19711972,NHL,Chicago
Minnesota,North Stars,0.551282,1972,19711972,NHL,Minnesota
Toronto,Maple Leafs,0.512821,1972,19711972,NHL,Toronto
Detroit,Red Wings,0.487179,1972,19711972,NHL,Detroit
St. Louis,Blues,0.429487,1972,19711972,NHL,St. Louis
Pittsburgh,Penguins,0.423077,1972,19711972,NHL,Pittsburgh
Philadelphia,Flyers,0.423077,1972,19711972,NHL,Philadelphia
California,Golden Seals,0.384615,1972,19711972,NHL,Bay Area
Buffalo,Sabres,0.326923,1972,19711972,NHL,Buffalo
Los Angeles,Kings,0.314103,1972,19711972,NHL,Los Angeles
Vancouver,Canucks,0.307692,1972,19711972,NHL,Vancouver
Montréal,Canadiens,0.769231,1973,19721973,NHL,Montreal
Boston,Bruins,0.685897,1973,19721973,NHL,Boston
NY Rangers,Rangers,0.653846,1973,19721973,NHL,New York
Chicago,Blackhawks,0.596154,1973,19721973,NHL,Chicago
Buffalo,Sabres,0.564103,1973,19721973,NHL,Buffalo
Detroit,Red Wings,0.551282,1973,19721973,NHL,Detroit
Philadelphia,Flyers,0.544872,1973,19721973,NHL,Philadelphia
Minnesota,North Stars,0.544872,1973,19721973,NHL,Minnesota
St. Louis,Blues,0.487179,1973,19721973,NHL,St. Louis
Pittsburgh,Penguins,0.467949,1973,19721973,NHL,Pittsburgh
Los Angeles,Kings,0.467949,1973,19721973,NHL,Los Angeles
Atlanta,Flames,0.416667,1973,19721973,NHL,Atlanta
Toronto,Maple Leafs,0.410256,1973,19721973,NHL,Toronto
Vancouver,Canucks,0.339744,1973,19721973,NHL,Vancouver
California,Golden Seals,0.307692,1973,19721973,NHL,Bay Area
NY Islanders,Islanders,0.192308,1973,19721973,NHL,New York
Boston,Bruins,0.724359,1974,19731974,NHL,Boston
Philadelphia,Flyers,0.717949,1974,19731974,NHL,Philadelphia
Chicago,Blackhawks,0.673077,1974,19731974,NHL,Chicago
Montréal,Canadiens,0.634615,1974,19731974,NHL,Montreal
NY Rangers,Rangers,0.602564,1974,19731974,NHL,New York
Toronto,Maple Leafs,0.551282,1974,19731974,NHL,Toronto
Los Angeles,Kings,0.5,1974,19731974,NHL,Los Angeles
Buffalo,Sabres,0.487179,1974,19731974,NHL,Buffalo
Atlanta,Flames,0.474359,1974,19731974,NHL,Atlanta
Detroit,Red Wings,0.435897,1974,19731974,NHL,Detroit
Pittsburgh,Penguins,0.416667,1974,19731974,NHL,Pittsburgh
St. Louis,Blues,0.410256,1974,19731974,NHL,St. Louis
Minnesota,North Stars,0.403846,1974,19731974,NHL,Minnesota
Vancouver,Canucks,0.378205,1974,19731974,NHL,Vancouver
NY Islanders,Islanders,0.358974,1974,19731974,NHL,New York
California,Golden Seals,0.230769,1974,19731974,NHL,Bay Area
Philadelphia,Flyers,0.70625,1975,19741975,NHL,Philadelphia
Buffalo,Sabres,0.70625,1975,19741975,NHL,Buffalo
Montréal,Canadiens,0.70625,1975,19741975,NHL,Montreal
Los Angeles,Kings,0.65625,1975,19741975,NHL,Los Angeles
Boston,Bruins,0.5875,1975,19741975,NHL,Boston
Pittsburgh,Penguins,0.55625,1975,19741975,NHL,Pittsburgh
NY Rangers,Rangers,0.55,1975,19741975,NHL,New York
NY Islanders,Islanders,0.55,1975,19741975,NHL,New York
Vancouver,Canucks,0.5375,1975,19741975,NHL,Vancouver
St. Louis,Blues,0.525,1975,19741975,NHL,St. Louis
Atlanta,Flames,0.51875,1975,19741975,NHL,Atlanta
Chicago,Blackhawks,0.5125,1975,19741975,NHL,Chicago
Toronto,Maple Leafs,0.4875,1975,19741975,NHL,Toronto
Detroit,Red Wings,0.3625,1975,19741975,NHL,Detroit
Minnesota,North Stars,0.33125,1975,19741975,NHL,Minnesota
California,Golden Seals,0.31875,1975,19741975,NHL,Bay Area
Kansas City,Scouts,0.25625,1975,19741975,NHL,Kansas City
Washington,Capitals,0.13125,1975,19741975,NHL,Washington
Montréal,Canadiens,0.79375,1976,19751976,NHL,Montreal
Philadelphia,Flyers,0.7375,1976,19751976,NHL,Philadelphia
Boston,Bruins,0.70625,1976,19751976,NHL,Boston
Buffalo,Sabres,0.65625,1976,19751976,NHL,Buffalo
NY Islanders,Islanders,0.63125,1976,19751976,NHL,New York
Los Angeles,Kings,0.53125,1976,19751976,NHL,Los Angeles
Toronto,Maple Leafs,0.51875,1976,19751976,NHL,Toronto
